lag_min,Bx,By_GSE,Bz_GSE
105,8.428921699523926,5.248179912567139,7.903326034545898
106,8.47658634185791,5.251388072967529,7.937160968780518
107,8.54100227355957,5.27733039855957,7.966806411743164
108,8.578526496887207,5.280609130859375,8.037248611450195
109,8.606348991394043,5.2884907722473145,8.130929946899414
110,8.621381759643555,5.304367542266846,8.212288856506348
111,8.614901542663574,5.305166721343994,8.271870613098145
112,8.623034477233887,5.313061237335205,8.331019401550293
113,8.619760513305664,5.318986892700195,8.386308670043945
114,8.580275535583496,5.315770149230957,8.435418128967285
115,8.552687644958496,5.328360557556152,8.45202922821045
116,8.533673286437988,5.358709812164307,8.510941505432129
117,8.494097709655762,5.3980937004089355,8.52577018737793
118,8.44283676147461,5.433655261993408,8.573479652404785
119,8.413305282592773,5.468001365661621,8.583107948303223
120,8.393975257873535,5.463189601898193,8.570342063903809
